rss,cr,x,y,method,r,n
2.5,all,radial_expansion_proxy_global_mean,ma_mean,pearson,0.1458753208155494,214
2.5,2281,expansion_speed_proxy_equator_mean,speed_mean,spearman,-0.24118404118404121,36
2.5,2281,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.2732479573197971,36
2.5,2281,expansion_speed_proxy_midlat_mean,speed_mean,spearman,-0.029343629343629347,36
2.5,2281,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,0.2968015965988941,36
2.5,2281,expansion_speed_proxy_global_mean,speed_mean,spearman,-0.04504504504504505,36
2.5,2281,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.2569019890769265,36
2.5,2281,radial_expansion_proxy_equator_mean,speed_mean,spearman,0.2102960102960103,36
2.5,2281,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.2706737890925734,36
2.5,2281,radial_expansion_proxy_midlat_mean,speed_mean,spearman,0.023680823680823682,36
2.5,2281,radial_expansion_proxy_midlat_mean,bmag_mean,spearman,-0.2959006377193658,36
2.5,2281,radial_expansion_proxy_global_mean,speed_mean,spearman,0.025997425997425997,36
2.5,2281,radial_expansion_proxy_global_mean,bmag_mean,spearman,-0.2499517348634225,36
2.5,2283,expansion_speed_proxy_equator_mean,speed_mean,spearman,-0.0913770913770914,36
2.5,2283,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.24736164736164734,36
2.5,2283,expansion_speed_proxy_midlat_mean,speed_mean,spearman,-0.09884169884169886,36
2.5,2283,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,0.30347490347490347,36
2.5,2283,expansion_speed_proxy_global_mean,speed_mean,spearman,-0.19716859716859722,36
2.5,2283,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.39613899613899617,36
2.5,2283,radial_expansion_proxy_equator_mean,speed_mean,spearman,0.06743886743886744,36
2.5,2283,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.25199485199485205,36
2.5,2283,radial_expansion_proxy_midlat_mean,speed_mean,spearman,0.0036036036036036037,36
2.5,2283,radial_expansion_proxy_midlat_mean,bmag_mean,spearman,-0.27979407979407983,36
2.5,2283,radial_expansion_proxy_global_mean,speed_mean,spearman,0.1945945945945946,36
