rss,cr,ballistic_phase10_deg,n,bx_gse_mean,bmag_mean,pfss_equator_signed_mean,pfss_global_signed_mean,omni_radial_polarity_proxy,pfss_equator_polarity_proxy,pfss_global_polarity_proxy
2.0,2286,90.0,25,1.65200000166893,4.631999959945679,0.036148952995382636,0.06248063273428645,-1.0,1.0,1.0
2.0,2286,100.0,11,1.718181805854494,5.00909085707231,-0.07513290483933875,0.006830861713528,-1.0,-1.0,1.0
2.0,2286,110.0,21,4.752380927403768,6.190476167769659,-0.045905267713353355,0.018344783957839263,-1.0,-1.0,1.0
2.0,2286,120.0,20,-0.2999999761581421,4.475000011920929,0.012744202757029643,0.04576159351325633,1.0,1.0,1.0
2.0,2286,130.0,16,-0.7874999954365194,3.7687500566244125,0.04759264956614158,0.061902267952882416,1.0,1.0,1.0
2.0,2286,140.0,11,-1.309090913019397,4.0545454892245205,-0.018226806098970847,0.026246013931121966,1.0,-1.0,1.0
2.0,2286,150.0,6,-7.200000127156575,12.083333174387613,-0.23517687856713032,-0.09308631235544586,1.0,-1.0,-1.0
2.0,2286,160.0,13,-6.138461553133451,14.52307708446796,-0.3817322525931241,-0.18013175161448974,1.0,-1.0,-1.0
2.0,2286,170.0,25,-4.524000015258789,6.9319999885559085,-0.400050889730314,-0.21154212083813892,1.0,-1.0,-1.0
2.0,2286,180.0,39,-0.5102564035317837,4.353846164850088,-0.15665482930765579,-0.10654728904837214,1.0,-1.0,-1.0
2.0,2286,190.0,6,0.2333333045244217,3.666666626930237,0.06018892708796362,-0.0019148565632912666,-1.0,1.0,-1.0
2.0,2286,200.0,3,0.800000011920929,5.400000095367432,0.1362951844562892,0.0365481247362041,-1.0,1.0,1.0
2.0,2286,210.0,22,0.26363635977560823,4.545454567128962,0.07400978342889744,0.008817616846457606,-1.0,1.0,1.0
2.0,2286,220.0,27,0.09999999762685209,4.888888888888889,-0.13606727535265078,-0.10380570275757964,-1.0,-1.0,-1.0
2.0,2286,230.0,30,-2.2933333247900007,6.0700000365575155,-0.3221346136929678,-0.20879992817506304,1.0,-1.0,-1.0
2.0,2286,240.0,2,-9.150000095367432,16.850000381469727,-0.4919700314780799,-0.3031943546860256,1.0,-1.0,-1.0
2.0,2286,250.0,13,2.7923077069796047,14.192307839026817,-0.4782665727171013,-0.2912993609456174,-1.0,-1.0,-1.0
2.0,2286,260.0,23,0.9608695656061172,7.960869602535082,-0.37093118972787725,-0.22076574076769884,-1.0,-1.0,-1.0
2.0,2286,270.0,2,0.15000000596046448,10.75,-0.2406160686728033,-0.139757107156802,-1.0,-1.0,-1.0
2.0,2286,280.0,8,-5.287499953061342,12.162500143051147,0.093217339177661,0.05694532381587994,1.0,1.0,1.0
2.0,2286,290.0,3,-7.599999904632568,16.76666641235352,0.23623781007053266,0.13857005509762,1.0,1.0,1.0
2.0,2286,300.0,5,1.9800000190734863,12.079999923706055,0.3861912370366977,0.2257924087825373,-1.0,1.0,1.0
2.0,2286,310.0,39,-2.9743589982390404,7.769230781457363,0.38776060112320704,0.23123545198673398,1.0,1.0,1.0
2.0,2286,320.0,8,-3.7750000059604645,7.900000154972076,0.2745943660588569,0.17433905438116656,1.0,1.0,1.0
2.0,2286,330.0,11,-4.036363623358986,6.990909099578857,0.133023064255189,0.09769189570156402,1.0,1.0,1.0
2.0,2286,340.0,31,-2.022580628193194,3.58064519205401,-0.13068511697121535,-0.05546425299048285,1.0,-1.0,-1.0
2.0,2286,350.0,23,-1.156521753448507,4.217391283615775,-0.21557705622163997,-0.10697817129464528,1.0,-1.0,-1.0
2.0,2287,0.0,12,-2.2166666562358537,7.299999992052714,-0.1360323151416211,-0.11259027769130985,1.0,-1.0,-1.0
2.0,2287,10.0,26,-0.7000000064189618,9.988461622825035,-0.12399287957763112,-0.08980687772816065,1.0,-1.0,-1.0
2.0,2287,20.0,17,-3.311764672398567,7.252941159641042,-0.07704289530633478,-0.04163254967350671,1.0,-1.0,-1.0
2.0,2287,30.0,29,-1.786206914176201,6.758620689655173,-0.009159588239288792,0.008935165584249954,1.0,-1.0,1.0
2.0,2287,40.0,15,-3.806666656335195,9.686666711171467,0.11129752259141727,0.08543668519631066,1.0,1.0,1.0
2.0,2287,50.0,15,0.8599999775489171,14.493333307902018,0.29374726450607347,0.19178404968780835,-1.0,1.0,1.0
2.0,2287,60.0,3,-8.499999841054281,18.60000038146973,0.34868859453374695,0.22468008704579456,1.0,1.0,1.0
2.0,2287,70.0,8,-2.4875000715255737,10.662499904632568,0.34667331620592035,0.2333890439274517,1.0,1.0,1.0
2.0,2287,80.0,36,0.2777777608070109,4.4027777380413475,0.26906780370121547,0.1992944155428772,-1.0,1.0,1.0
