rss,cr,ballistic_phase10_deg,n,bmag_mean,br_rtn_mean,bt_rtn_mean,bn_rtn_mean,btan_rtn_mean,rtn_spiral_angle_mean_deg,pfss_equator_signed_mean,pfss_global_signed_mean,omni_rtn_radial_polarity,pfss_equator_polarity,pfss_global_polarity
2.0,2286,70.0,25,4.499999990463257,-0.04799999862909317,0.8759999945759773,-0.783999996483326,2.7325554890709243,9.66402274278958,0.29778582251277796,0.1913172774443935,-1.0,1.0,1.0
2.0,2286,80.0,16,4.737500011920929,-1.937499988824129,1.2125000022351742,-0.1437500026077032,2.7521031743612316,64.00603228810381,0.17471477066107255,0.12879479728447843,-1.0,1.0,1.0
2.0,2286,90.0,25,4.631999959945679,-1.65200000166893,2.3040000057220458,-0.49200000643730163,3.109027053522213,71.55089060343508,0.036148952995382636,0.06248063273428645,-1.0,1.0,1.0
2.0,2286,100.0,11,5.00909085707231,-1.718181805854494,2.372727296569131,-1.0999999804930254,3.605247646660098,122.28482470891791,-0.07513290483933875,0.006830861713528,-1.0,-1.0,1.0
2.0,2286,110.0,21,6.190476167769659,-4.752380927403768,3.3904762041001093,-0.7904761855800947,3.641138967205428,144.51920814910133,-0.045905267713353355,0.018344783957839263,-1.0,-1.0,1.0
2.0,2286,120.0,20,4.475000011920929,0.2999999761581421,-0.2550000101327896,-0.2149999938905239,3.4550606071338734,7.592962515249724,0.012744202757029643,0.04576159351325633,1.0,1.0,1.0
2.0,2286,130.0,16,3.7687500566244125,0.7874999954365194,-0.5875000292435288,0.5750000006519258,2.730398504247997,-15.354077299062444,0.04759264956614158,0.061902267952882416,1.0,1.0,1.0
2.0,2286,140.0,11,4.0545454892245205,1.309090913019397,0.19090909578583456,-2.172727270559831,3.03874663001085,-17.17920938242224,-0.018226806098970847,0.026246013931121966,1.0,-1.0,1.0
2.0,2286,150.0,6,12.083333174387613,7.200000127156575,8.316666762034098,-1.5666666626930237,9.300084034034693,49.98254378994782,-0.23517687856713032,-0.09308631235544586,1.0,-1.0,-1.0
2.0,2286,160.0,13,14.52307708446796,6.138461553133451,8.838461463267986,6.123076889950496,12.704992651416738,43.25962032979194,-0.3817322525931241,-0.18013175161448974,1.0,-1.0,-1.0
2.0,2286,170.0,25,6.9319999885559085,4.524000015258789,-3.632000012397766,0.7879999959468842,4.537725605084035,-38.65085406434545,-0.400050889730314,-0.21154212083813892,1.0,-1.0,-1.0
2.0,2286,180.0,39,4.353846164850088,0.5102564035317837,-2.5692307570805917,0.22564101352905616,3.161426362923038,-74.39504396173763,-0.15665482930765579,-0.10654728904837214,1.0,-1.0,-1.0
2.0,2286,190.0,6,3.666666626930237,-0.2333333045244217,0.533333346247673,1.4833333045244217,2.1837884484221126,52.33977002232697,0.06018892708796362,-0.0019148565632912666,-1.0,1.0,-1.0
2.0,2286,200.0,3,5.400000095367432,-0.800000011920929,3.633333365122477,0.40000003576278687,4.09363526014661,93.36417198031684,0.1362951844562892,0.0365481247362041,-1.0,1.0,1.0
2.0,2286,210.0,22,4.545454567128962,-0.26363635977560823,2.899999999864535,0.5227272713726218,3.9894963586200944,67.35450655213577,0.07400978342889744,0.008817616846457606,-1.0,1.0,1.0
2.0,2286,220.0,27,4.888888888888889,-0.09999999762685209,-1.274074058841776,-3.0740740646918616,4.278875646975529,-51.66168620851305,-0.13606727535265078,-0.10380570275757964,-1.0,-1.0,-1.0
2.0,2286,230.0,30,6.0700000365575155,2.2933333247900007,0.16666668405135476,0.9600000023841858,4.608424378474414,-3.9519486131744848,-0.3221346136929678,-0.20879992817506304,1.0,-1.0,-1.0
2.0,2286,240.0,2,16.850000381469727,9.150000095367432,9.299999713897705,9.300000190734863,13.190997787702344,45.639402932984325,-0.4919700314780799,-0.3031943546860256,1.0,-1.0,-1.0
2.0,2286,250.0,13,14.192307839026817,-2.7923077069796047,11.399999985328087,3.0923076684658346,12.392787543332883,100.80051084846781,-0.4782665727171013,-0.2912993609456174,-1.0,-1.0,-1.0
2.0,2286,260.0,23,7.960869602535082,-0.9608695656061172,3.5869565502456995,3.6086956586526786,6.272714839816792,76.42585271213875,-0.37093118972787725,-0.22076574076769884,-1.0,-1.0,-1.0
2.0,2286,270.0,2,10.75,-0.15000000596046448,8.149999856948853,6.599999904632568,10.492974057758882,90.7448840158235,-0.2406160686728033,-0.139757107156802,-1.0,-1.0,-1.0
2.0,2286,280.0,8,12.162500143051147,5.287499953061342,-8.537500143051147,-0.6499999789521098,9.039997154388614,-43.09736032484608,0.093217339177661,0.05694532381587994,1.0,1.0,1.0
