sample,rss,cr,x,y,method,r,n,abs_r,null_p_two_sided_abs,null_abs_percentile,null_abs_p95
final_with_cr2284,3.0,all,pfss_equator_abs_mean,pdyn_mean,spearman,0.2558659217877095,180,0.2558659217877095,0.02348825587206397,97.7,0.22732759241540376
final_with_cr2284,3.0,all,pfss_equator_abs_mean,ma_mean,pearson,-0.0670645587991397,180,0.0670645587991397,0.5257371314342829,47.449999999999996,0.17437743409496362
final_with_cr2284,3.0,all,pfss_equator_abs_mean,ma_mean,spearman,-0.10716380135189356,180,0.10716380135189356,0.2353823088455772,76.5,0.16903206889101507
final_with_cr2284,3.0,all,pfss_midlat_abs_mean,speed_mean,pearson,0.06668657987598872,180,0.06668657987598872,0.4947526236881559,50.55,0.19589841302689842
final_with_cr2284,3.0,all,pfss_midlat_abs_mean,speed_mean,spearman,-0.055511029672786434,180,0.055511029672786434,0.6541729135432284,34.599999999999994,0.23452311750695815
final_with_cr2284,3.0,all,pfss_midlat_abs_mean,bmag_mean,pearson,0.20974166759586446,180,0.20974166759586446,0.01249375312343828,98.8,0.16736903112115553
final_with_cr2284,3.0,all,pfss_midlat_abs_mean,bmag_mean,spearman,0.24083574638919325,180,0.24083574638919325,0.01999000499750125,98.05,0.2056345389438931
final_with_cr2284,3.0,all,pfss_midlat_abs_mean,density_mean,pearson,0.20659509242345547,180,0.20659509242345547,0.09345327336331834,90.7,0.23573243501636845
final_with_cr2284,3.0,all,pfss_midlat_abs_mean,density_mean,spearman,0.25093778614566287,180,0.25093778614566287,0.05347326336831584,94.69999999999999,0.25619185777338804
final_with_cr2284,3.0,all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.1566749398833028,180,0.1566749398833028,0.06046976511744128,94.0,0.16832366657164807
final_with_cr2284,3.0,all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.2398057553216663,180,0.2398057553216663,0.050474762618690654,95.0,0.23980277169048428
final_with_cr2284,3.0,all,pfss_midlat_abs_mean,ma_mean,pearson,-0.06389560567815088,180,0.06389560567815088,0.568215892053973,43.2,0.17678717166993926
final_with_cr2284,3.0,all,pfss_midlat_abs_mean,ma_mean,spearman,-0.10402584441906643,180,0.10402584441906643,0.27136431784107945,72.89999999999999,0.1777491074827412
final_with_cr2284,3.0,all,pfss_global_abs_mean,speed_mean,pearson,-0.019170616404033704,180,0.019170616404033704,0.8460769615192404,15.4,0.1814789422926852
final_with_cr2284,3.0,all,pfss_global_abs_mean,speed_mean,spearman,-0.12613262357139463,180,0.12613262357139463,0.344327836081959,65.60000000000001,0.2512940741938572
final_with_cr2284,3.0,all,pfss_global_abs_mean,bmag_mean,pearson,0.17943036573775176,180,0.17943036573775176,0.04297851074462768,95.75,0.17175123857131544
final_with_cr2284,3.0,all,pfss_global_abs_mean,bmag_mean,spearman,0.1986852468107544,180,0.1986852468107544,0.054972513743128434,94.55,0.20458893000246026
final_with_cr2284,3.0,all,pfss_global_abs_mean,density_mean,pearson,0.17104997716617976,180,0.17104997716617976,0.20339830084957522,79.7,0.2469827848824607
final_with_cr2284,3.0,all,pfss_global_abs_mean,density_mean,spearman,0.19521178637200737,180,0.19521178637200737,0.15242378810594703,84.8,0.25838441515684635
final_with_cr2284,3.0,all,pfss_global_abs_mean,pdyn_mean,pearson,0.07907568407748589,180,0.07907568407748589,0.32983508245877063,67.05,0.14349561474387548
final_with_cr2284,3.0,all,pfss_global_abs_mean,pdyn_mean,spearman,0.1507104128728253,180,0.1507104128728253,0.2193903048475762,78.10000000000001,0.23182978898525675
final_with_cr2284,3.0,all,pfss_global_abs_mean,ma_mean,pearson,-0.09765342386409315,180,0.09765342386409315,0.375312343828086,62.5,0.1958087638058615
final_with_cr2284,3.0,all,pfss_global_abs_mean,ma_mean,spearman,-0.12813564204656522,180,0.12813564204656522,0.22638680659670166,77.4,0.2080526147926376
ambient_without_cr2284,3.0,all,pfss_equator_abs_mean,speed_mean,pearson,0.0008456906499902469,144,0.0008456906499902469,0.9975012493753124,0.25,0.3578573260761199
ambient_without_cr2284,3.0,all,pfss_equator_abs_mean,speed_mean,spearman,-0.016321068083523196,144,0.016321068083523196,0.9250374812593704,7.5,0.3027067814224852
ambient_without_cr2284,3.0,all,pfss_equator_abs_mean,bmag_mean,pearson,0.24704206193998599,144,0.24704206193998599,0.04297851074462768,95.75,0.23753193986856178
ambient_without_cr2284,3.0,all,pfss_equator_abs_mean,bmag_mean,spearman,0.251493299868807,144,0.251493299868807,0.03298350824587706,96.75,0.2357423395853006
ambient_without_cr2284,3.0,all,pfss_equator_abs_mean,density_mean,pearson,0.2279205811536659,144,0.2279205811536659,0.1024487756121939,89.8,0.26421407315363743
ambient_without_cr2284,3.0,all,pfss_equator_abs_mean,density_mean,spearman,0.2875894220721807,144,0.2875894220721807,0.0399800099950025,96.05,0.27699823165340404
ambient_without_cr2284,3.0,all,pfss_equator_abs_mean,pdyn_mean,pearson,0.2868483796929986,144,0.2868483796929986,0.059470264867566215,94.1,0.29497693517088114
ambient_without_cr2284,3.0,all,pfss_equator_abs_mean,pdyn_mean,spearman,0.28196688369102163,144,0.28196688369102163,0.06146926536731634,93.89999999999999,0.2880640623744072
ambient_without_cr2284,3.0,all,pfss_equator_abs_mean,ma_mean,pearson,-0.03535211834269639,144,0.03535211834269639,0.783608195902049,21.65,0.20233702799487122
ambient_without_cr2284,3.0,all,pfss_equator_abs_mean,ma_mean,spearman,-0.09528976770356082,144,0.09528976770356082,0.3708145927036482,62.949999999999996,0.19991319025801774
ambient_without_cr2284,3.0,all,pfss_midlat_abs_mean,speed_mean,pearson,-0.026954470796124386,144,0.026954470796124386,0.9050474762618691,9.5,0.35684660445616706
ambient_without_cr2284,3.0,all,pfss_midlat_abs_mean,speed_mean,spearman,-0.05945273581865517,144,0.05945273581865517,0.7141429285357321,28.599999999999998,0.3057332725134227
ambient_without_cr2284,3.0,all,pfss_midlat_abs_mean,bmag_mean,pearson,0.2429426924299872,144,0.2429426924299872,0.04847576211894053,95.19999999999999,0.24092717933302457
ambient_without_cr2284,3.0,all,pfss_midlat_abs_mean,bmag_mean,spearman,0.2340770778848118,144,0.2340770778848118,0.05247376311844078,94.8,0.23494738661231473
ambient_without_cr2284,3.0,all,pfss_midlat_abs_mean,density_mean,pearson,0.2282298464435218,144,0.2282298464435218,0.10844577711144428,89.2,0.2715652325426215
ambient_without_cr2284,3.0,all,pfss_midlat_abs_mean,density_mean,spearman,0.285270476649787,144,0.285270476649787,0.04547726136931534,95.5,0.281033076119283
