sample,rss,cr,x,y,method,r,n,abs_r
final_with_cr2284,2.0,2290,pfss_equator_abs_mean,density_mean,spearman,0.3601029601029601,36,0.3601029601029601
final_with_cr2284,2.0,2290,pfss_equator_abs_mean,pdyn_mean,pearson,0.35811015246426886,36,0.35811015246426886
final_with_cr2284,2.0,2290,pfss_equator_abs_mean,pdyn_mean,spearman,0.30090090090090094,36,0.30090090090090094
final_with_cr2284,2.0,2290,pfss_equator_abs_mean,ma_mean,pearson,0.22630767603632804,36,0.22630767603632804
final_with_cr2284,2.0,2290,pfss_equator_abs_mean,ma_mean,spearman,0.15546975546975547,36,0.15546975546975547
final_with_cr2284,2.0,2290,pfss_midlat_abs_mean,speed_mean,pearson,-0.2620664249579315,36,0.2620664249579315
final_with_cr2284,2.0,2290,pfss_midlat_abs_mean,speed_mean,spearman,-0.18481338481338483,36,0.18481338481338483
final_with_cr2284,2.0,2290,pfss_midlat_abs_mean,bmag_mean,pearson,0.23879539016884557,36,0.23879539016884557
final_with_cr2284,2.0,2290,pfss_midlat_abs_mean,bmag_mean,spearman,0.09446589446589447,36,0.09446589446589447
final_with_cr2284,2.0,2290,pfss_midlat_abs_mean,density_mean,pearson,0.42269228259035807,36,0.42269228259035807
final_with_cr2284,2.0,2290,pfss_midlat_abs_mean,density_mean,spearman,0.3912483912483913,36,0.3912483912483913
final_with_cr2284,2.0,2290,pfss_midlat_abs_mean,pdyn_mean,pearson,0.3931004352679675,36,0.3931004352679675
final_with_cr2284,2.0,2290,pfss_midlat_abs_mean,pdyn_mean,spearman,0.3420849420849421,36,0.3420849420849421
final_with_cr2284,2.0,2290,pfss_midlat_abs_mean,ma_mean,pearson,0.2048919940215524,36,0.2048919940215524
final_with_cr2284,2.0,2290,pfss_midlat_abs_mean,ma_mean,spearman,0.10836550836550837,36,0.10836550836550837
final_with_cr2284,2.0,2290,pfss_global_abs_mean,speed_mean,pearson,-0.27373214386741046,36,0.27373214386741046
final_with_cr2284,2.0,2290,pfss_global_abs_mean,speed_mean,spearman,-0.23063063063063063,36,0.23063063063063063
final_with_cr2284,2.0,2290,pfss_global_abs_mean,bmag_mean,pearson,0.31998666644168344,36,0.31998666644168344
final_with_cr2284,2.0,2290,pfss_global_abs_mean,bmag_mean,spearman,0.17554697554697557,36,0.17554697554697557
final_with_cr2284,2.0,2290,pfss_global_abs_mean,density_mean,pearson,0.4331906333697331,36,0.4331906333697331
final_with_cr2284,2.0,2290,pfss_global_abs_mean,density_mean,spearman,0.4244530244530245,36,0.4244530244530245
final_with_cr2284,2.0,2290,pfss_global_abs_mean,pdyn_mean,pearson,0.398641357584979,36,0.398641357584979
final_with_cr2284,2.0,2290,pfss_global_abs_mean,pdyn_mean,spearman,0.35341055341055344,36,0.35341055341055344
final_with_cr2284,2.0,2290,pfss_global_abs_mean,ma_mean,pearson,0.14401160761560697,36,0.14401160761560697
final_with_cr2284,2.0,2290,pfss_global_abs_mean,ma_mean,spearman,0.0380952380952381,36,0.0380952380952381
ambient_without_cr2284,2.0,all,pfss_equator_abs_mean,speed_mean,pearson,-0.06738483761968579,144,0.06738483761968579
ambient_without_cr2284,2.0,all,pfss_equator_abs_mean,speed_mean,spearman,-0.08771208877113258,144,0.08771208877113258
ambient_without_cr2284,2.0,all,pfss_equator_abs_mean,bmag_mean,pearson,0.3113654191379859,144,0.3113654191379859
ambient_without_cr2284,2.0,all,pfss_equator_abs_mean,bmag_mean,spearman,0.31074904624749056,144,0.31074904624749056
ambient_without_cr2284,2.0,all,pfss_equator_abs_mean,density_mean,pearson,0.2878648411844139,144,0.2878648411844139
ambient_without_cr2284,2.0,all,pfss_equator_abs_mean,density_mean,spearman,0.3738871210988957,144,0.3738871210988957
ambient_without_cr2284,2.0,all,pfss_equator_abs_mean,pdyn_mean,pearson,0.3075550685656765,144,0.3075550685656765
ambient_without_cr2284,2.0,all,pfss_equator_abs_mean,pdyn_mean,spearman,0.3426975323527048,144,0.3426975323527048
ambient_without_cr2284,2.0,all,pfss_equator_abs_mean,ma_mean,pearson,-0.06734738734194164,144,0.06734738734194164
ambient_without_cr2284,2.0,all,pfss_equator_abs_mean,ma_mean,spearman,-0.10280122176673902,144,0.10280122176673902
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,speed_mean,pearson,-0.12204319690185221,144,0.12204319690185221
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,speed_mean,spearman,-0.14214305737393373,144,0.14214305737393373
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,bmag_mean,pearson,0.2945223564376784,144,0.2945223564376784
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,bmag_mean,spearman,0.28721594648349286,144,0.28721594648349286
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,density_mean,pearson,0.2829713227113845,144,0.2829713227113845
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,density_mean,spearman,0.3658974016332946,144,0.3658974016332946
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.277893986519682,144,0.277893986519682
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.3147335423197492,144,0.3147335423197492
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,ma_mean,pearson,-0.060389385622960506,144,0.060389385622960506
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,ma_mean,spearman,-0.09560726629692147,144,0.09560726629692147
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,speed_mean,pearson,-0.16665374185379736,144,0.16665374185379736
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,speed_mean,spearman,-0.18889175798956365,144,0.18889175798956365
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,bmag_mean,pearson,0.2898662830986009,144,0.2898662830986009
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,bmag_mean,spearman,0.2616512555777138,144,0.2616512555777138
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,density_mean,pearson,0.2609468058178611,144,0.2609468058178611
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,density_mean,spearman,0.3312277260950612,144,0.3312277260950612
